Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20130327,735320,14559.65,14526.16,14559.65,14439.55,92677649,139.9191599,81.18416038,120.1,14284.98115,14377.89159,14493.416,14493.994,70.34,78.87,0.545915532,-0.000892763,6758375.716,83.21,0.12
20130328,735321,14526.16,14578.54,14585.1,14520.86,153712196,139.2667766,160.575972,64.24,14310.01962,14397.00096,14524.826,14497.934,66.81,128.48,0.889131256,0.00441951,6620445.001,83,0.13
20130401,735325,14578.54,14572.85,14605.72,14531.48,91396856,136.7146613,148.969261,74.24,14336.64385,14413.74849,14536.99,14503.808,60.82,33.71,0.231856905,0.008288701,7657149.811,82.73,0.16
20130402,735326,14572.85,14662.01,14684.49,14572.85,98420053,140.2696175,220.6861635,111.64,14362.08385,14437.39244,14579.842,14524.803,214.26,147.9,1.019008399,0.014062874,7298055.65,82.89,0.15
20130403,735327,14662.01,14550.35,14683.13,14525.36,127135047,132.548975,108.9548663,157.77,14391.55231,14448.15031,14577.982,14534.256,-9.3,98.29,0.680110656,0.002654232,5563609.276,82.76,0.14
20130404,735328,14550.35,14606.11,14625.24,14538.72,104791940,129.4376001,93.47486275,86.52,14418.70538,14463.19409,14593.972,14543.694,46.46,154.05,1.065938005,0.012639916,6612715.534,82.72,0.14
20130405,735329,14606.11,14565.25,14606.11,14434.43,131254754,122.2653537,16.65371303,171.68,14437.54692,14472.9137,14591.314,14558.07,5.6,113.19,0.783210144,0.003653902,6039046.317,82.56,0.15
20130408,735332,14565.25,14613.48,14613.48,14497.8,106677754,119.1001423,60.11599868,115.68,14459.04654,14486.30096,14599.44,14568.215,87.32,157.66,1.090633392,0.011340899,6051633.144,82.71,0.15
20130409,735333,14613.48,14673.46,14716.46,14598.5,128580922,120.0477387,150.5926761,117.96,14481.50038,14504.12563,14601.73,14590.786,94.92,161.73,1.114477736,0.00775618,5814933.992,82.39,0.15
20130410,735334,14673.46,14802.24,14826.66,14673.46,120515642,129.6951405,216.8191704,153.2,14507.43962,14532.51748,14652.108,14615.045,223.7,380.75,2.640157154,0.018651231,6096533.508,82.49,0.15
20130411,735335,14802.24,14865.14,14887.51,14785.36,144573066,140.7933027,217.912177,102.15,14530.95385,14564.19581,14703.914,14648.943,292.29,353.11,2.433222644,0.019280007,6320723.194,82.25,0.15
